CASEID,COMPWT,RELIG,DENOM,OTHER,FUND,RELIG16,DENOM16,OTH16,FUND16,PARELIG,PADEN,PAOTH,PAATTEND,PAFUND,PARELKID,PADENKID,MARELIG,MADEN,MAOTH,MAATTEND,MAFUND,MARELKID,MADENKID
22649,1.06000000000000005e+00, 1,23,  0,1, 1,23,  0,1,1,23,  0,8,1,0,    0,1,23,  0,8,1,0,    0
22650,5.30000000000000027e-01, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,2, 0,  0,0,2,0,    0
22651,1.06000000000000005e+00, 1,14,  0,1, 1,14,  0,1,1,14,  0,3,1,0,    0,1,14,  0,7,1,0,    0
22652,5.30000000000000027e-01, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,5,2,0,    0,2, 0,  0,5,2,0,    0
22653,1.06000000000000005e+00, 1,15,  0,1, 1,18,  0,1,1,18,  0,0,1,0,    0,1,18,  0,5,1,0,    0
22654,1.06000000000000005e+00, 1,22,  0,3, 1,22,  0,3,1,22,  0,7,3,0,    0,1,22,  0,7,3,0,    0
22655,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,2, 0,  0,7,2,0,    0
22656,1.06000000000000005e+00, 2, 0,  0,2, 1,31,  0,2,1,31,  0,0,2,0,    0,2, 0,  0,0,2,0,    0
22657,1.06000000000000005e+00, 1,32,  0,1, 1,32,  0,1,1,32,  0,7,1,0,    0,1,32,  0,7,1,0,    0
22658,1.06000000000000005e+00, 1,50,  0,3, 1,22,  0,3,2, 0,  0,2,2,0,    0,1,22,  0,5,3,0,    0
22659,1.06000000000000005e+00, 1,14,  0,1, 4, 0,  0,3,4, 0,  0,0,3,0,    0,1,18,  0,3,1,0,    0
22660,1.06000000000000005e+00, 2, 0,  0,2, 1,22,  0,3,1,22,  0,7,3,0,    0,1,22,  0,7,3,0,    0
22661,1.06000000000000005e+00, 1,60, 51,2, 1,60, 51,2,2, 0,  0,5,2,0,    0,1,60, 51,7,2,0,    0
22662,1.59000000000000008e+00, 1,22,  0,3, 1,22,  0,3,1,99,999,5,9,0,    0,1,22,  0,8,3,0,    0
22663,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,6,2,0,    0,2, 0,  0,7,2,0,    0
22664,1.06000000000000005e+00, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,2,2,0,    0,2, 0,  0,2,2,0,    0
22665,1.06000000000000005e+00, 1,31,  0,2, 1,11,  0,2,1,11,  0,4,2,0,    0,1,11,  0,4,2,0,    0
22666,1.06000000000000005e+00, 1,22,  0,3, 1,22,  0,3,1,22,  0,3,3,0,    0,1,22,  0,3,3,0,    0
22667,1.06000000000000005e+00, 1,18,  0,1, 1,22,  0,3,2, 0,  0,0,2,0,    0,1,22,  0,0,3,0,    0
22668,1.06000000000000005e+00, 1,22,  0,3, 1,22,  0,3,0, 0,  0, ,0,0,    0,1,22,  0,6,3,0,    0
22669,1.06000000000000005e+00, 1,18,  0,1, 1,18,  0,1,1,18,  0,0,1,0,    0,1,18,  0,2,1,0,    0
22670,1.59000000000000008e+00, 1,60, 12,1, 1,14,  0,1,0, 0,  0, ,0,0,    0,1,14,  0,8,1,0,    0
22671,1.06000000000000005e+00, 1,14,  0,1, 1,14,  0,1,1,14,  0,8,1,0,    0,1,14,  0,8,1,0,    0
22672,1.59000000000000008e+00, 1,14,  0,1, 1,48,  0,3,1,48,  0,1,3,0,    0,1,48,  0,7,3,0,    0
22673,1.59000000000000008e+00, 1,28,  0,3, 1,28,  0,3,1,28,  0,1,3,0,    0,1,28,  0,3,3,0,    0
