CASEID,YEAR,VERSION,COMPWT,SEX,AGE,RACE,SRCBELT,RELIG,RELIG16,DENOM16,PARELIG,PARELKID,MARELIG,MARELKID,SPREL,EDUC,SEI,INCOME,RINCOME,INTRHOME,COMPUSE,WEBMOB,WEBTV,EMAILHR,EMAILMIN,USEWWW,WWWHR,WWWMIN
38235,2000,4,2.20000000000000018e+00,2,47,1,1, 2, 2, 0,0,0,0,0, 0,11,48.5,98, 9,0,2,0,2, -1,-1,0, -1,-1
38236,2000,6,1.64999999999999991e+00,2,55,1,1, 1, 1,18,0,0,0,0, 0,11,32.4, 9, 0,0,2,0,2, -1,-1,0, -1,-1
38237,2000,5,1.10000000000000009e+00,2,43,1,1, 2, 2, 0,0,0,0,0, 0,13,-1.0, 1, 0,0,2,0,2, -1,-1,0, -1,-1
38238,2000,3,5.50000000000000044e-01,2,31,1,1, 2, 2, 0,0,0,0,0, 0,10,-1.0, 5, 0,0,0,0,0, -1,-1,0, -1,-1
38239,2000,1,1.10000000000000009e+00,1,44,1,1, 2, 2, 0,0,0,0,0, 0, 8,29.4, 9, 0,0,2,0,2, -1,-1,0, -1,-1
38240,2000,3,5.50000000000000044e-01,1,40,1,1, 1, 2, 0,0,0,0,0, 0,13,64.2,12,99,0,0,0,0, -1,-1,0, -1,-1
38241,2000,4,1.10000000000000009e+00,2,25,1,1, 2, 2, 0,0,0,0,0, 0,13,-1.0,10, 0,0,2,0,2, -1,-1,0, -1,-1
38242,2000,4,5.50000000000000044e-01,2,37,1,1, 2, 2, 0,0,0,0,0, 0,12,27.7,11,11,0,2,0,2, -1,-1,0, -1,-1
38243,2000,1,5.50000000000000044e-01,1,56,1,1, 1, 1,60,0,0,0,0, 0, 8,-1.0,13,13,0,2,0,2, -1,-1,0, -1,-1
38244,2000,2,1.10000000000000009e+00,1,28,1,1, 2, 2, 0,0,0,0,0, 0,10,29.2,13,13,0,2,0,2, -1,-1,0, -1,-1
38245,2000,5,1.10000000000000009e+00,1,36,2,1, 1, 2, 0,0,0,0,0, 0,11,28.6, 1, 0,0,2,0,2, -1,-1,0, -1,-1
38246,2000,3,5.50000000000000044e-01,1,35,2,1, 1, 1,60,0,0,0,0, 0,12,31.5, 8, 0,0,0,0,0, -1,-1,0, -1,-1
38247,2000,6,1.10000000000000009e+00,1,23,1,1, 1, 1,38,0,0,0,0, 0,16,27.5, 3, 3,0,1,0,0,  0, 0,2, -1,-1
38248,2000,6,1.10000000000000009e+00,1,30,1,1,11, 2, 0,0,0,0,0, 0,15,63.5,12, 9,0,2,0,2, -1,-1,0, -1,-1
38249,2000,4,5.50000000000000044e-01,1,32,1,1, 4, 1,60,0,0,0,0, 0,19,56.5,12, 8,0,1,0,0,  0,30,1,  1, 0
38250,2000,4,5.50000000000000044e-01,2,50,2,1,13, 1,50,0,0,0,0, 0,14,31.4, 9, 9,0,1,0,0, 20, 0,2, -1,-1
38251,2000,3,5.50000000000000044e-01,2,38,2,1, 1, 1,18,0,0,0,0, 0,12,50.7,12, 8,0,0,0,0, -1,-1,0, -1,-1
38252,2000,5,5.50000000000000044e-01,2,31,1,1,11,11, 0,0,0,0,0, 0,16,72.0,11,11,0,1,0,0,  3, 0,1,  5, 0
38253,2000,1,5.50000000000000044e-01,2,82,2,1, 1, 1,18,0,0,0,0, 0, 8,22.5, 4, 0,0,2,0,2, -1,-1,0, -1,-1
38254,2000,2,5.50000000000000044e-01,2,73,1,1, 2, 2, 0,0,0,0,0, 0,12,22.5, 7, 0,0,2,0,2, -1,-1,0, -1,-1
38255,2000,2,5.50000000000000044e-01,1,57,2,1, 4, 2, 0,0,0,0,0, 0,11,31.3, 9, 0,0,2,0,2, -1,-1,0, -1,-1
38256,2000,6,5.50000000000000044e-01,2,60,2,1, 2, 2, 0,0,0,0,0, 0,13,50.7,10, 0,0,2,0,2, -1,-1,0, -1,-1
