CASEID,COMPWT,AGE,RELIG,DENOM,OTHER,FUND,RELIG16,DENOM16,OTH16,FUND16,PARELIG,PADEN,PAOTH,PAATTEND,PAFUND,PARELKID,PADENKID,MARELIG,MADEN,MAOTH,MAATTEND,MAFUND,MARELKID,MADENKID,SPREL,SPDEN,SPOTHER,SPATTEND,SPFUND,SPREL16,SPDEN16,KDYRBRN1,KDYRBRN2,KDYRBRN3,KDYRBRN4,KDYRBRN5,KDYRBRN6,KDYRBRN7,KDYRBRN8,KDYRBRN9
21930,1.06000000000000005e+00,33, 1,22,  0,3, 1,60, 33,1,0, 0,  0, ,0,0,    0,4, 0,  0,0,3,0,    0, 1,22,  0,0,3,1,22,   0,   0,   0,   0,   0,   0,   0,   0,   0
21931,1.06000000000000005e+00,37, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,5,2,0,    0,2, 0,  0,5,2,0,    0, 2, 0,  0,5,2,2, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21932,5.30000000000000027e-01,37, 1,50,  0,3, 1,50,  0,3,0, 0,  0, ,0,0,    0,1,50,  0,7,3,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21933,1.06000000000000005e+00,21, 2, 0,  0,2, 2, 0,  0,2,1,99,999,1,9,0,    0,0, 0,  0, ,0,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21934,5.30000000000000027e-01,41, 4, 0,  0,3, 2, 0,  0,2,4, 0,  0,2,3,0,    0,2, 0,  0,2,2,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21935,1.06000000000000005e+00,78, 5, 0,  0,9, 5, 0,  0,9,5, 0,  0,8,9,0,    0,5, 0,  0,8,9,0,    0, 5, 0,  0,5,9,5, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21936,5.30000000000000027e-01,30, 2, 0,  0,2, 4, 0,  0,3,4, 0,  0,0,3,0,    0,2, 0,  0,3,2,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21937,5.30000000000000027e-01,38, 1,60, 78,1, 1,18,  0,1,0, 0,  0, ,0,0,    0,1,18,  0,7,1,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21938,1.06000000000000005e+00,22, 1,60, 14,1, 1,18,  0,1,0, 0,  0, ,0,0,    0,1,18,  0,5,1,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21939,1.06000000000000005e+00,47, 2, 0,  0,2, 2, 0,  0,2,4, 0,  0,0,3,0,    0,1,18,  0,2,1,0,    0, 1,18,  0,2,1,1,18,   0,   0,   0,   0,   0,   0,   0,   0,   0
21940,1.06000000000000005e+00,38, 5, 0,  0,9, 5, 0,  0,9,5, 0,  0,8,9,0,    0,5, 0,  0,7,9,0,    0, 5, 0,  0,7,9,5, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21941,1.06000000000000005e+00,53, 1,70,  0,2, 1,70,  0,2,1,70,  0,2,2,0,    0,1,70,  0,2,2,0,    0, 1,70,  0,5,2,2, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21942,1.06000000000000005e+00,40, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,6,2,0,    0,2, 0,  0,6,2,0,    0, 2, 0,  0,4,2,2, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21943,1.06000000000000005e+00,39, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,7,2,0,    0,2, 0,  0,7,2,0,    0, 1,70,  0,2,2,1,18,   0,   0,   0,   0,   0,   0,   0,   0,   0
21944,1.59000000000000008e+00,25, 2, 0,  0,2, 2, 0,  0,2,1,42,  0,0,1,0,    0,2, 0,  0,7,2,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21945,1.06000000000000005e+00,29, 4, 0,  0,3, 2, 0,  0,2,2, 0,  0,6,2,0,    0,2, 0,  0,6,2,0,    0, 4, 0,  0,0,3,1,50,   0,   0,   0,   0,   0,   0,   0,   0,   0
21946,1.06000000000000005e+00,77, 2, 0,  0,2, 2, 0,  0,2,2, 0,  0,6,2,0,    0,2, 0,  0,5,2,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21947,1.06000000000000005e+00,25, 1,70,  0,2, 1,32,  0,1,1,70,  0,7,2,0,    0,1,32,  0,7,1,0,    0, 1,70,  0,4,2,1,70,   0,   0,   0,   0,   0,   0,   0,   0,   0
21948,1.06000000000000005e+00,33, 1,28,  0,3, 1,28,  0,3,1,23,  0,7,1,0,    0,1,28,  0,7,3,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21949,1.06000000000000005e+00,26, 1,70,  0,2, 2, 0,  0,2,2, 0,  0,4,2,0,    0,0, 0,  0, ,0,0,    0, 1,70,  0,4,2,2, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21950,1.06000000000000005e+00,28, 1,38,  0,2, 1,38,  0,2,1,38,  0,0,2,0,    0,1,38,  0,3,2,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21951,1.59000000000000008e+00,43, 1,14,  0,1, 1,14,  0,1,1,14,  0,0,1,0,    0,1,14,  0,4,1,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21952,2.66000000000000014e+00,30, 2, 0,  0,2, 2, 0,  0,2,0, 0,  0, ,0,0,    0,2, 0,  0,5,2,0,    0, 0, 0,  0, ,0,0, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21953,1.06000000000000005e+00,40, 2, 0,  0,2, 2, 0,  0,2,4, 0,  0,0,3,0,    0,2, 0,  0,7,2,0,    0, 2, 0,  0,3,2,2, 0,   0,   0,   0,   0,   0,   0,   0,   0,   0
21954,1.59000000000000008e+00,68, 1,48,  0,3, 1,48,  0,3,1,48,  0,2,3,0,    0,1,48,  0,7,3,0,    0, 1,22,  0,3,3,1,22,   0,   0,   0,   0,   0,   0,   0,   0,   0
21955,1.06000000000000005e+00,66, 1,50,  0,3, 1,50,  0,3,1,50,  0,2,3,0,    0,1,50,  0,2,3,0,    0, 1,60, 40,2,3,1,60,   0,   0,   0,   0,   0,   0,   0,   0,   0
